ROW;BASIS;BITVALUE;DET?
1;+;1;Y
4;+;0;Y
18;+;0;Y
27;X;0;Y
35;+;0;Y
37;X;1;Y
40;X;0;Y
52;X;1;Y
63;+;0;Y
73;X;0;Y
101;X;0;Y
104;+;1;Y
111;+;1;Y
123;+;0;Y
125;+;0;Y
133;+;0;Y
134;+;0;Y
137;+;0;Y
144;X;1;Y
151;+;0;Y
153;X;0;Y
157;+;0;Y
163;X;1;Y
191;+;0;Y
193;X;0;Y
204;X;0;Y
206;X;1;Y
222;X;0;Y
224;X;0;Y
227;+;0;Y
232;X;1;Y
234;+;0;Y
244;X;1;Y
252;+;1;Y
257;X;0;Y
262;X;0;Y
265;+;1;Y
270;X;1;Y
275;X;0;Y
296;+;0;Y
297;+;1;Y
311;+;0;Y
315;+;0;Y
316;+;0;Y
317;+;0;Y
332;+;0;Y
336;+;1;Y
337;X;1;Y
350;X;0;Y
355;X;1;Y
372;+;0;Y
375;+;0;Y
