ROW;BASIS;BITVALUE;DET?
3;+;0;Y
7;X;1;Y
27;X;0;Y
29;+;1;Y
34;X;1;Y
36;+;0;Y
40;X;0;Y
48;X;1;Y
53;X;0;Y
59;X;1;Y
66;X;0;Y
70;X;1;Y
72;+;1;Y
73;+;0;Y
76;X;0;Y
83;X;1;Y
88;+;1;Y
89;X;0;Y
98;X;0;Y
101;+;0;Y
104;+;0;Y
110;X;0;Y
115;X;1;Y
118;X;1;Y
120;+;0;Y
122;+;1;Y
123;X;1;Y
134;X;1;Y
147;+;0;Y
154;X;0;Y
157;X;1;Y
161;X;0;Y
162;X;1;Y
170;+;0;Y
174;+;1;Y
180;+;1;Y
184;X;1;Y
189;+;0;Y
194;X;0;Y
198;X;0;Y
212;X;1;Y
214;+;0;Y
215;X;1;Y
222;+;1;Y
237;X;0;Y
240;+;0;Y
241;X;0;Y
248;X;0;Y
250;X;0;Y
258;X;1;Y
261;X;0;Y
266;X;0;Y
269;+;0;Y
271;X;0;Y
284;X;0;Y
288;+;1;Y
303;+;0;Y
310;X;0;Y
311;X;0;Y
315;X;1;Y
316;X;1;Y
344;X;1;Y
348;+;0;Y
349;X;1;Y
350;X;1;Y
359;X;1;Y
360;X;0;Y
370;X;1;Y
371;X;1;Y
373;X;0;Y
