# G(2) Function
# 2025-11-20 16:08:26
# Histogram Width = 10 ns
# Events Ch. 0 = 8.97e+07 
# Events Ch. 1 = 8.287e+07 
# Integr. Time = 00:02:46 h
# G(2) Norm = 445.7 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-1.0000000E-008 ;  9.6249300E-001
-9.9902248E-009 ;  1.0410180E+000
-9.9804497E-009 ;  1.0342870E+000
-9.9706745E-009 ;  9.4454400E-001
-9.9608993E-009 ;  9.6698000E-001
-9.9511241E-009 ;  9.4678800E-001
-9.9413490E-009 ;  9.9614700E-001
-9.9315738E-009 ;  9.9839000E-001
-9.9217986E-009 ;  9.8492900E-001
-9.9120235E-009 ;  1.1217870E+000
-9.9022483E-009 ;  9.5127500E-001
-9.8924731E-009 ;  9.6024900E-001
-9.8826979E-009 ;  1.0589670E+000
-9.8729228E-009 ;  1.0006340E+000
-9.8631476E-009 ;  1.0791590E+000
-9.8533724E-009 ;  8.8621100E-001
-9.8435973E-009 ;  9.4678800E-001
-9.8338221E-009 ;  9.2659600E-001
-9.8240469E-009 ;  1.0230690E+000
-9.8142717E-009 ;  1.0051210E+000
-9.8044966E-009 ;  9.8268500E-001
-9.7947214E-009 ;  9.4903200E-001
-9.7849462E-009 ;  1.0051210E+000
-9.7751711E-009 ;  1.0746720E+000
-9.7653959E-009 ;  8.9742900E-001
-9.7556207E-009 ;  9.5351900E-001
-9.7458456E-009 ;  9.5800600E-001
-9.7360704E-009 ;  9.5127500E-001
-9.7262952E-009 ;  9.9390300E-001
-9.7165200E-009 ;  8.8621100E-001
-9.7067449E-009 ;  1.0073640E+000
-9.6969697E-009 ;  9.7819800E-001
-9.6871945E-009 ;  1.0028770E+000
-9.6774194E-009 ;  9.5127500E-001
-9.6676442E-009 ;  1.0096080E+000
-9.6578690E-009 ;  1.0073640E+000
-9.6480938E-009 ;  9.5127500E-001
-9.6383187E-009 ;  9.1089100E-001
-9.6285435E-009 ;  1.0298000E+000
-9.6187683E-009 ;  9.0416000E-001
-9.6089932E-009 ;  8.8396800E-001
-9.5992180E-009 ;  9.9614700E-001
-9.5894428E-009 ;  9.2883900E-001
-9.5796676E-009 ;  9.6024900E-001
-9.5698925E-009 ;  1.0455050E+000
-9.5601173E-009 ;  1.0432620E+000
-9.5503421E-009 ;  1.0410180E+000
-9.5405670E-009 ;  9.9165900E-001
-9.5307918E-009 ;  8.9294200E-001
-9.5210166E-009 ;  1.0051210E+000
-9.5112414E-009 ;  9.5127500E-001
-9.5014663E-009 ;  9.6922400E-001
-9.4916911E-009 ;  9.8717200E-001
-9.4819159E-009 ;  1.0185820E+000
-9.4721408E-009 ;  8.9069900E-001
-9.4623656E-009 ;  1.0096080E+000
-9.4525904E-009 ;  9.6698000E-001
-9.4428152E-009 ;  9.4678800E-001
-9.4330401E-009 ;  8.8845500E-001
-9.4232649E-009 ;  1.0028770E+000
-9.4134897E-009 ;  1.0028770E+000
-9.4037146E-009 ;  9.3557000E-001
-9.3939394E-009 ;  1.0140950E+000
-9.3841642E-009 ;  9.8044200E-001
-9.3743891E-009 ;  9.8044200E-001
-9.3646139E-009 ;  1.0208260E+000
-9.3548387E-009 ;  9.5127500E-001
-9.3450635E-009 ;  9.6922400E-001
-9.3352884E-009 ;  9.7146700E-001
-9.3255132E-009 ;  9.7819800E-001
-9.3157380E-009 ;  9.8941600E-001
-9.3059629E-009 ;  9.6698000E-001
-9.2961877E-009 ;  9.8044200E-001
-9.2864125E-009 ;  1.0230690E+000
-9.2766373E-009 ;  1.0028770E+000
-9.2668622E-009 ;  9.9165900E-001
-9.2570870E-009 ;  9.8941600E-001
-9.2473118E-009 ;  9.6249300E-001
-9.2375367E-009 ;  9.4230100E-001
-9.2277615E-009 ;  9.5576200E-001
-9.2179863E-009 ;  1.0499920E+000
-9.2082111E-009 ;  9.9614700E-001
-9.1984360E-009 ;  9.4005700E-001
-9.1886608E-009 ;  1.0544800E+000
-9.1788856E-009 ;  9.7371100E-001
-9.1691105E-009 ;  1.0208260E+000
-9.1593353E-009 ;  9.3108300E-001
-9.1495601E-009 ;  9.4005700E-001
-9.1397849E-009 ;  9.4230100E-001
-9.1300098E-009 ;  9.6698000E-001
-9.1202346E-009 ;  1.0006340E+000
-9.1104594E-009 ;  9.3332700E-001
-9.1006843E-009 ;  1.0140950E+000
-9.0909091E-009 ;  1.0051210E+000
-9.0811339E-009 ;  1.0477490E+000
-9.0713587E-009 ;  8.9294200E-001
-9.0615836E-009 ;  9.4454400E-001
-9.0518084E-009 ;  1.1285180E+000
-9.0420332E-009 ;  1.0298000E+000
-9.0322581E-009 ;  9.2210900E-001
-9.0224829E-009 ;  1.0118520E+000
-9.0127077E-009 ;  9.8268500E-001
-9.0029326E-009 ;  1.0342870E+000
-8.9931574E-009 ;  9.9390300E-001
-8.9833822E-009 ;  9.5127500E-001
-8.9736070E-009 ;  1.0073640E+000
-8.9638319E-009 ;  9.9839000E-001
-8.9540567E-009 ;  9.8044200E-001
-8.9442815E-009 ;  1.0208260E+000
-8.9345064E-009 ;  1.0253130E+000
-8.9247312E-009 ;  9.6249300E-001
-8.9149560E-009 ;  9.2435200E-001
-8.9051808E-009 ;  9.5576200E-001
-8.8954057E-009 ;  9.2883900E-001
-8.8856305E-009 ;  9.8268500E-001
-8.8758553E-009 ;  1.0073640E+000
-8.8660802E-009 ;  9.6922400E-001
-8.8563050E-009 ;  9.4454400E-001
-8.8465298E-009 ;  1.0118520E+000
-8.8367546E-009 ;  9.6473700E-001
-8.8269795E-009 ;  9.3332700E-001
-8.8172043E-009 ;  8.3685300E-001
-8.8074291E-009 ;  9.0191600E-001
-8.7976540E-009 ;  1.0163390E+000
-8.7878788E-009 ;  9.1313400E-001
-8.7781036E-009 ;  9.7819800E-001
-8.7683284E-009 ;  1.0230690E+000
-8.7585533E-009 ;  9.9390300E-001
-8.7487781E-009 ;  9.7595400E-001
-8.7390029E-009 ;  9.8941600E-001
-8.7292278E-009 ;  1.0185820E+000
-8.7194526E-009 ;  1.0208260E+000
-8.7096774E-009 ;  1.0477490E+000
-8.6999022E-009 ;  1.0028770E+000
